date,price,market_cap,total_volume
2017-04-02,0.201662,10083100.0,97057.0
2017-04-03,0.197115,9855750.0,108085.0
2017-04-04,0.18465,9232500.0,148431.0
2017-04-05,0.184536,9226800.0,101928.0
2017-04-06,0.186463,9323150.0,82520.0
2017-04-07,0.18874,9437000.0,81880.0
2017-04-08,0.18980499999999997,9490249.999999998,53192.0
2017-04-09,0.188836,9441800.0,59128.0
2017-04-10,0.208143,10407150.0,208802.0
2017-04-11,0.197539,9876950.0,257515.0
2017-04-12,0.194359,9717950.0,187231.0
2017-04-13,0.192232,9611600.0,151011.0
2017-04-14,0.192458,9622900.0,103044.0
2017-04-15,0.191244,9562200.0,76138.0
2017-04-16,0.194078,9703900.0,168308.0
2017-04-17,0.191316,9565800.0,331044.0
2017-04-18,0.179105,8955250.0,345240.0
2017-04-19,0.190688,9534400.0,300129.0
2017-04-20,0.184613,9230650.0,220244.0
2017-04-21,0.178917,8945850.0,267460.0
2017-04-22,0.182173,9108650.0,278318.0
2017-04-23,0.174703,8735150.0,183250.0
2017-04-24,0.175159,8757950.0,259271.0
2017-04-25,0.183732,9186600.0,245492.0
2017-04-26,0.185439,9271950.0,184449.0
2017-04-27,0.20162,10081000.0,331091.0
2017-04-28,0.223996,11199800.0,452359.0
2017-04-29,0.272533,13626650.0,952493.0
2017-04-30,0.361373,18068650.0,1629200.0
2017-05-01,0.302847,15142350.0,1125690.0
2017-05-02,0.314627,15731350.0,602357.0
2017-05-03,0.344894,17244700.0,758493.0
2017-05-04,0.489386,24469300.0,2227900.0
2017-05-05,0.570246,28512300.0,2594420.0
2017-05-06,0.579221,28961050.0,1350990.0
2017-05-07,0.534678,26733900.0,1238660.0
2017-05-08,0.507979,25398950.0,1066480.0
2017-05-09,0.456966,22848300.0,1089840.0
2017-05-10,0.506142,25307100.0,845339.0
2017-05-11,0.480926,24046300.0,959467.0
2017-05-12,0.498692,24934600.0,559143.0
2017-05-13,0.481231,24061550.0,616121.0
2017-05-14,0.477992,23899600.0,495161.0
2017-05-15,0.464908,23245400.0,904824.0
2017-05-16,0.463226,23161300.0,637082.0
2017-05-17,0.525213,26260650.0,1300450.0
2017-05-18,0.535071,26753550.0,1215290.0
2017-05-19,0.650833,32541650.0,1880750.0
2017-05-20,0.661115,33055750.0,1485960.0
2017-05-21,0.687516,34375800.0,2645830.0
2017-05-22,0.698547,34927350.0,2376710.0
2017-05-23,0.777625,38881250.0,3196320.0
2017-05-24,1.66,83000000.0,20931600.0
2017-05-25,1.05,52500000.0,12293500.0
2017-05-26,0.819101,40955050.0,6928580.0
2017-05-27,0.977827,48891350.0,6972780.0
2017-05-28,0.931363,46568150.0,5230700.0
2017-05-29,0.969138,48456900.0,2163760.0
2017-05-30,1.02,51000000.0,5348710.0
2017-05-31,1.02,51000000.0,3034130.0
2017-06-01,1.24,62000000.0,8044300.0
2017-06-02,1.35,67500000.0,7088420.0
2017-06-03,1.24,62000000.0,4075530.0
2017-06-04,1.26,63000000.0,2602270.0
2017-06-05,1.28,64000000.0,3872900.0
2017-06-06,1.33,66500000.0,5212450.0
2017-06-07,1.3,65000000.0,3031870.0
2017-06-08,1.33,66500000.0,6912000.0
2017-06-09,1.51,75500000.0,9514880.0
2017-06-10,1.7,85000000.0,17527000.0
2017-06-11,1.68,84000000.0,6594890.0
2017-06-12,1.5,75000000.0,7468880.0
2017-06-13,1.81,90500000.0,10543500.0
2017-06-14,1.74,87000000.0,10458100.0
2017-06-15,1.76,88000000.0,9432130.0
2017-06-16,2.77,138500000.0,45290500.0
2017-06-17,3.79,189500000.0,83864100.0
2017-06-18,5.18,259000000.0,59877100.0
2017-06-19,11.58,579000000.0,276662000.0
2017-06-20,7.99,399500000.0,128465000.0
2017-06-21,10.16,508000000.0,88377000.0
2017-06-22,6.9,345000000.0,115029000.0
2017-06-23,6.95,347500000.0,67484700.0
2017-06-24,6.28,314000000.0,33964100.0
2017-06-25,5.99,299500000.0,25125900.0
2017-06-26,5.53,276500000.0,27615900.0
2017-06-27,6.93,346500000.0,71670000.0
2017-06-28,8.41,420500000.0,73677500.0
2017-06-29,9.74,487000000.0,75207200.0
2017-06-30,8.6,430000000.0,42958500.0
2017-07-01,7.92,396000000.0,33239600.0
2017-07-02,8.23,411500000.0,47792800.0
2017-07-03,8.24,412000000.0,28934100.0
2017-07-04,7.83,391500000.0,15830700.0
2017-07-05,8.05,402500000.0,29452900.0
2017-07-06,7.88,394000000.0,17988400.0
2017-07-07,6.85,342500000.0,16615300.0
2017-07-08,7.58,379000000.0,24100800.0
2017-07-09,6.9,345000000.0,10649100.0
2017-07-10,5.85,292500000.0,11156400.0
2017-07-11,5.52,276000000.0,20840100.0
2017-07-12,6.53,326500000.0,22951000.0
2017-07-13,6.31,315500000.0,18036600.0
2017-07-14,5.58,279000000.0,12421000.0
2017-07-15,5.1,255000000.0,11352600.0
2017-07-16,5.02,251000000.0,9525820.0
2017-07-17,5.71,285500000.0,14675800.0
2017-07-18,6.01,300500000.0,18163400.0
2017-07-19,5.87,293500000.0,14246500.0
2017-07-20,7.21,360500000.0,25199100.0
2017-07-21,7.4,370000000.0,21411300.0
2017-07-22,8.73,436500000.0,32910500.0
2017-07-23,8.57,428500000.0,29776200.0
2017-07-24,8.41,420500000.0,21354600.0
2017-07-25,7.28,364000000.0,19379500.0
2017-07-26,7.18,359000000.0,16748100.0
2017-07-27,7.82,391000000.0,15239100.0
2017-07-28,7.11,355500000.0,15895400.0
2017-07-29,7.29,364500000.0,10490600.0
2017-07-30,7.14,357000000.0,8986080.0
2017-07-31,7.28,364000000.0,10833100.0
2017-08-01,7.9,395000000.0,18473800.0
2017-08-02,8.11,405500000.0,17551000.0
2017-08-03,10.68,534000000.0,49650100.0
2017-08-04,10.4,520000000.0,56942300.0
2017-08-05,13.9,695000000.0,81928100.0
2017-08-06,15.41,770500000.0,81282200.0
2017-08-07,15.62,781000000.0,80734600.0
2017-08-11,33.868638407163466,1693431920.3581734,234528306.46279967
2017-08-12,37.07191056297996,1853595528.1489978,112650912.09759426
2017-08-13,47.16142798659399,2358071399.3296995,252785757.45958278
2017-08-14,47.01439558702303,2350719779.3511515,153870592.38923755
2017-08-15,47.904013867651244,2395200693.382562,154296885.25465092
2017-08-16,44.39462177272423,2219731088.6362114,84204490.76715565
2017-08-17,44.25656633612816,2212828316.806408,83564252.30780317
2017-08-18,39.38873857847071,1969436928.9235353,120575051.49681164
2017-08-19,39.574501084529274,1978725054.2264636,81035628.45047191
2017-08-20,37.63977178929713,1881988589.4648564,32617777.669481356
2017-08-21,34.808678699390676,1740433934.969534,41085194.253910124
